SECCIÓ CENSAL,total,homes,dones,Totals > 60 anys,> 60 anys Homes,> 60 anys Dones,> 60 anys_perc total,> 60 anys_perc_Homes,> 60 anys_perc_Dones
801901001,1314,733,581,241,121,120,"18,3","16,5","20,7"
801901002,1486,795,691,268,108,160,18,"13,6","23,2"
801901003,3521,1884,1637,526,243,283,"14,9","12,9","17,3"
801901004,2807,1540,1267,385,179,206,"13,7","11,6","16,3"
801901005,2425,1335,1090,418,189,229,"17,2","14,2",21
801901006,1571,873,698,251,106,145,16,"12,1","20,8"
801901007,1950,1171,779,204,99,105,"10,5","8,5","13,5"
801901008,3286,1991,1295,518,287,231,"15,8","14,4","17,8"
801901009,2248,1259,989,324,138,186,"14,4",11,"18,8"
801901010,2415,1348,1067,274,127,147,"11,3","9,4","13,8"
801901011,3162,1801,1361,376,182,194,"11,9","10,1","14,3"
801901012,1905,963,942,315,127,188,"16,5","13,2",20
801901013,1434,698,736,306,116,190,"21,3","16,6","25,8"
801901014,2049,1128,921,319,141,178,"15,6","12,5","19,3"
801901015,2358,1229,1129,349,140,209,"14,8","11,4","18,5"
801901016,2222,1147,1075,311,122,189,14,"10,6","17,6"
801901017,2553,1241,1312,364,149,215,"14,3",12,"16,4"
801901018,1569,806,763,276,105,171,"17,6",13,"22,4"
801901019,2938,1577,1361,415,174,241,"14,1",11,"17,7"
801901020,2073,982,1091,461,180,281,"22,2","18,3","25,8"
801901021,2067,1044,1023,402,168,234,"19,4","16,1","22,9"
801901022,1255,604,651,271,122,149,"21,6","20,2","22,9"
801901023,2089,1030,1059,402,161,241,"19,2","15,6","22,8"
801901025,1255,644,611,206,95,111,"16,4","14,8","18,2"
801901026,5228,3801,1427,523,302,221,10,"7,9","15,5"
801901027,1598,775,823,287,125,162,18,"16,1","19,7"
801901028,1862,908,954,302,129,173,"16,2","14,2","18,1"
801901029,1387,682,705,209,90,119,"15,1","13,2","16,9"
801901030,2416,1224,1192,494,220,274,"20,4",18,23
801901031,1539,830,709,239,114,125,"15,5","13,7","17,6"
801901032,1798,921,877,379,152,227,"21,1","16,5","25,9"
801901033,1145,604,541,215,92,123,"18,8","15,2","22,7"
801901034,932,453,479,195,74,121,"20,9","16,3","25,3"
801901035,1291,665,626,262,111,151,"20,3","16,7","24,1"
801901036,1180,543,637,309,117,192,"26,2","21,5","30,1"
801901037,1402,666,736,355,151,204,"25,3","22,7","27,7"
801901038,1459,808,651,255,108,147,"17,5","13,4","22,6"
801901039,1296,653,643,292,115,177,"22,5","17,6","27,5"
801901040,1076,529,547,245,89,156,"22,8","16,8","28,5"
801901041,1495,772,723,208,87,121,"13,9","11,3","16,7"
801901042,1783,819,964,579,220,359,"32,5","26,9","37,2"
801901043,1625,825,800,280,128,152,"17,2","15,5",19
801901044,1395,660,735,256,110,146,"18,4","16,7","19,9"
801901045,1919,949,970,338,134,204,"17,6","14,1",21
801901046,1782,905,877,290,135,155,"16,3","14,9","17,7"
801901047,1697,834,863,317,120,197,"18,7","14,4","22,8"
801901048,2049,998,1051,338,146,192,"16,5","14,6","18,3"
801901049,1548,732,816,280,102,178,"18,1","13,9","21,8"
801901050,1549,775,774,278,129,149,"17,9","16,6","19,3"
801901051,1789,906,883,241,113,128,"13,5","12,5","14,5"
801901052,2803,1585,1218,435,187,248,"15,5","11,8","20,4"
801901053,1805,858,947,419,168,251,"23,2","19,6","26,5"
801901054,1286,652,634,234,100,134,"18,2","15,3","21,1"
801901055,1343,648,695,404,176,228,"30,1","27,2","32,8"
801902001,1297,629,668,295,118,177,"22,7","18,8","26,5"
801902002,2790,1463,1327,638,285,353,"22,9","19,5","26,6"
801902003,1215,530,685,403,148,255,"33,2","27,9","37,2"
801902004,1473,723,750,379,161,218,"25,7","22,3","29,1"
801902005,2028,923,1105,666,266,400,"32,8","28,8","36,2"
801902006,1670,805,865,482,198,284,"28,9","24,6","32,8"
801902007,1296,562,734,424,159,265,"32,7","28,3","36,1"
801902008,1932,885,1047,527,208,319,"27,3","23,5","30,5"
801902009,1776,829,947,475,204,271,"26,7","24,6","28,6"
801902010,1181,547,634,345,142,203,"29,2",26,32
801902011,1095,545,550,346,158,188,"31,6",29,"34,2"
801902012,1519,732,787,425,187,238,28,"25,5","30,2"
801902013,1145,561,584,246,98,148,"21,5","17,5","25,3"
801902014,1353,662,691,256,93,163,"18,9",14,"23,6"
801902015,1543,745,798,418,164,254,"27,1",22,"31,8"
801902016,1873,844,1029,544,215,329,29,"25,5",32
801902017,1964,901,1063,488,185,303,"24,8","20,5","28,5"
