municipi,districte,seccio,mundissec11,codsecINE 10
80018,1,1,08001801001,0800101001
80018,1,2,08001801002,0800101002
80018,1,3,08001801003,0800101003
80018,1,4,08001801004,0800101004
80018,1,5,08001801005,0800101005
80018,1,7,08001801007,0800101007
80018,1,8,08001801008,0800101008
80023,1,1,08002301001,0800201001
80039,1,1,08003901001,0800301001
80039,1,2,08003901002,0800301002
80039,1,3,08003901003,0800301003
80039,1,4,08003901004,0800301004
80044,1,1,08004401001,0800401001
80057,1,1,08005701001,0800501001
80057,1,2,08005701002,0800501002
80057,1,3,08005701003,0800501003
80057,1,4,08005701004,0800501004
80057,1,5,08005701005,0800501005
80060,1,1,08006001001,0800601001
80060,1,2,08006001002,0800601002
80060,1,3,08006001003,0800601003
80060,1,4,08006001004,0800601004
80060,2,1,08006002001,0800602001
80060,2,2,08006002002,0800602002
80060,2,3,08006002003,0800602003
80060,2,4,08006002004,0800602004
80060,2,5,08006002005,0800602005
80076,1,1,08007601001,0800701001
80076,1,2,08007601002,0800701002
80076,2,1,08007602001,0800702001
80076,2,2,08007602002,0800702002
80082,1,1,08008201001,0800801001
80095,1,1,08009501001,0800901001
80095,1,2,08009501002,0800901002
80095,1,3,08009501003,0800901003
80095,1,4,08009501004,0800901004
80095,1,5,08009501005,0800901005
80095,1,6,08009501006,0800901006
80095,2,1,08009502001,0800902001
80095,2,2,08009502002,0800902002
80109,1,1,08010901001,0801001001
80109,2,1,08010902001,0801002001
80109,2,2,08010902002,0801002002
80109,2,3,08010902003,0801002003
80116,1,1,08011601001,0801101001
80121,1,1,08012101001,0801201001
80137,1,1,08013701001,0801301001
80142,1,1,08014201001,0801401001
80155,1,1,08015501001,0801501001
80155,1,2,08015501002,0801501002
80155,1,3,08015501003,0801501003
80155,1,4,08015501004,0801501004
80155,1,5,08015501005,0801501005
80155,1,7,08015501007,0801501007
80155,1,8,08015501008,0801501008
80155,2,1,08015502001,0801502001
80155,2,2,08015502002,0801502002
80155,2,3,08015502003,0801502003
80155,2,4,08015502004,0801502004
80155,2,5,08015502005,0801502005
80155,2,7,08015502007,0801502007
80155,2,8,08015502008,0801502008
80155,2,9,08015502009,0801502009
80155,2,10,08015502010,0801502010
80155,2,11,08015502011,0801502011
80155,2,12,08015502012,0801502012
80155,2,13,08015502013,0801502013
80155,2,15,08015502015,0801502015
80155,3,1,08015503001,0801503001
80155,3,3,08015503003,0801503003
80155,3,4,08015503004,0801503004
80155,3,5,08015503005,0801503005
80155,3,6,08015503006,0801503006
80155,3,7,08015503007,0801503007
80155,3,8,08015503008,0801503008
80155,3,9,08015503009,0801503009
80155,3,10,08015503010,0801503010
80155,3,11,08015503011,0801503011
80155,3,13,08015503013,0801503013
80155,4,1,08015504001,0801504001
80155,4,2,08015504002,0801504002
80155,4,3,08015504003,0801504003
80155,4,4,08015504004,0801504004
80155,4,5,08015504005,0801504005
80155,4,6,08015504006,0801504006
80155,4,7,08015504007,0801504007
80155,4,8,08015504008,0801504008
80155,4,9,08015504009,0801504009
80155,4,10,08015504010,0801504010
80155,4,11,08015504011,0801504011
80155,4,12,08015504012,0801504012
80155,4,13,08015504013,0801504013
80155,4,14,08015504014,0801504014
80155,4,15,08015504015,0801504015
